tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,Laki-Laki,6522
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,Laki-Laki,2406
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,Laki-Laki,4529
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,Laki-Laki,7191
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,Laki-Laki,4991
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,Laki-Laki,7612
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,Laki-Laki,11522
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,Laki-Laki,7131
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,Laki-Laki,9212
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,Laki-Laki,8244
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,Laki-Laki,10357
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,Laki-Laki,7747
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,Laki-Laki,8097
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,Laki-Laki,8444
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,Laki-Laki,7724
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,Laki-Laki,9326
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,Laki-Laki,6861
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,PONDOK LABU,Laki-Laki,8928
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,Laki-Laki,3988
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,Laki-Laki,4740
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,Laki-Laki,374
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,Laki-Laki,1533
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,Laki-Laki,2574
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,Laki-Laki,372
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,Laki-Laki,838
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,Laki-Laki,401
