,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
3087,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pensiunan,521
3088,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pegawai Negeri Sipil,160
3089,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Tentara Nasional Indonesia,33
3090,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Kepolisian RI,26
3091,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Perdagangan,4
3092,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Petani/Pekebun,9
3093,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Industri,2
3094,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Konstruksi,3
3095,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Transportasi,1
3096,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Karyawan Swasta,9698
3097,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Karyawan BUMN,65
3098,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Karyawan BUMD,1
3099,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Karyawan Honorer,20
3100,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Buruh Harian Lepas,479
3101,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Buruh Tani/Perkebunan,5
3102,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pembantu Rumah Tangga,0
3103,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Tukang Kayu,1
3104,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Tukang Jahit,0
3105,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Mekanik,2
3106,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Seniman,5
3107,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pendeta,40
3108,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pastor,1
3109,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Wartawan,17
3110,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Duta Besar,1
3111,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Dosen,49
3112,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Guru,96
3113,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pilot,7
3114,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pengacara,27
3115,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Notaris,2
3116,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Arsitek,4
3117,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Akuntan,1
3118,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Konsultan,12
3119,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Dokter,115
